client_id,variation,variation_clean,is_test
2759297,test,test,True
9173795,test,test,True
9077478,test,test,True
287756,control,control,False
9076007,test,test,True
3495059,control,control,False
1949154,control,control,False
4219577,control,control,False
7688646,control,control,False
2741439,test,test,True
1227035,test,test,True
8728382,control,control,False
463029,test,test,True
7463451,control,control,False
7069926,test,test,True
7543252,control,control,False
9382892,test,test,True
6191302,control,control,False
5617039,test,test,True
1565127,test,test,True
3531620,control,control,False
7283635,control,control,False
8911405,test,test,True
9777919,test,test,True
2857152,test,test,True
8608071,test,test,True
9154283,test,test,True
7680107,control,control,False
2133839,control,control,False
1585267,test,test,True
3016724,control,control,False
161491,control,control,False
6106468,control,control,False
8182943,test,test,True
3239523,control,control,False
8538655,test,test,True
5322608,control,control,False
9128593,control,control,False
5823616,test,test,True
4706669,control,control,False
6431498,control,control,False
5841499,control,control,False
3703282,control,control,False
3571495,control,control,False
451443,control,control,False
6637378,test,test,True
8463084,control,control,False
3836344,control,control,False
4258976,test,test,True
3669611,control,control,False
8939444,control,control,False
5644756,control,control,False
3923657,test,test,True
4305565,control,control,False
5089039,control,control,False
8965532,control,control,False
943003,test,test,True
2357486,test,test,True
9398963,test,test,True
1731028,test,test,True
8753196,control,control,False
6407208,control,control,False
2304952,test,test,True
9788829,test,test,True
2567360,test,test,True
4935415,test,test,True
2796936,control,control,False
4087981,control,control,False
1324064,control,control,False
2649386,test,test,True
2854435,test,test,True
637858,control,control,False
6121098,test,test,True
1322426,test,test,True
7336361,test,test,True
4623083,test,test,True
5617888,test,test,True
9638466,control,control,False
1527623,control,control,False
7758621,test,test,True
9603341,control,control,False
3418762,control,control,False
6240775,test,test,True
7564737,test,test,True
9128690,test,test,True
2195243,test,test,True
4147935,test,test,True
3062998,test,test,True
487462,test,test,True
2353193,control,control,False
5588396,test,test,True
4917803,control,control,False
5490654,test,test,True
6742624,control,control,False
1758566,control,control,False
9322805,test,test,True
2159101,test,test,True
9716117,control,control,False
1663358,test,test,True
9416337,control,control,False
8201398,control,control,False
5916407,test,test,True
3678111,test,test,True
3960380,test,test,True
5715241,control,control,False
6388327,control,control,False
5249171,test,test,True
8696157,control,control,False
5871224,test,test,True
4744245,control,control,False
2430937,test,test,True
780112,test,test,True
809082,test,test,True
9612831,control,control,False
1865475,test,test,True
597792,test,test,True
233601,control,control,False
1288151,test,test,True
8482662,control,control,False
174806,control,control,False
8620393,test,test,True
5919352,control,control,False
7397258,control,control,False
1311965,control,control,False
37408,control,control,False
8806276,test,test,True
269636,control,control,False
7379864,test,test,True
5472730,control,control,False
9646248,test,test,True
2825830,control,control,False
6595818,test,test,True
9740561,control,control,False
9778121,test,test,True
8089534,test,test,True
1269483,test,test,True
6828613,test,test,True
6724757,test,test,True
7024149,control,control,False
6183060,test,test,True
6379127,control,control,False
7602354,control,control,False
345640,test,test,True
5180590,test,test,True
866133,test,test,True
1953574,test,test,True
7817761,test,test,True
3133001,test,test,True
2162418,test,test,True
4038383,test,test,True
6019257,control,control,False
3751021,test,test,True
9750016,control,control,False
979164,test,test,True
5810734,test,test,True
1756663,control,control,False
6267076,control,control,False
196053,control,control,False
6741529,control,control,False
9132831,test,test,True
5060221,control,control,False
2968554,control,control,False
3401354,test,test,True
3132213,control,control,False
8891903,test,test,True
8242142,test,test,True
301165,test,test,True
6078664,test,test,True
152356,control,control,False
8097000,control,control,False
242235,test,test,True
2363857,control,control,False
31502,control,control,False
6494639,control,control,False
8136342,control,control,False
3445770,test,test,True
626494,test,test,True
3874722,control,control,False
7723706,test,test,True
2936450,test,test,True
7276456,control,control,False
2563749,control,control,False
8597519,control,control,False
8870501,test,test,True
160741,test,test,True
8891137,test,test,True
8254513,control,control,False
1374352,test,test,True
775176,control,control,False
1842343,control,control,False
329631,control,control,False
4542043,control,control,False
7825280,test,test,True
6745139,test,test,True
6010099,test,test,True
3905636,test,test,True
283734,test,test,True
7957690,control,control,False
8069676,control,control,False
6396836,test,test,True
1423055,test,test,True
3135162,test,test,True
3623291,test,test,True
7344865,control,control,False
825852,control,control,False
2247954,test,test,True
2712519,control,control,False
1064476,test,test,True
5738894,control,control,False
2806504,control,control,False
282077,control,control,False
3770237,control,control,False
499699,test,test,True
6195846,control,control,False
3920526,test,test,True
1900411,control,control,False
648881,test,test,True
7937128,test,test,True
6081769,test,test,True
5662925,control,control,False
4129662,test,test,True
8705202,control,control,False
1485054,test,test,True
9171585,test,test,True
981888,control,control,False
9390879,test,test,True
7563831,test,test,True
103669,test,test,True
8902463,control,control,False
8409638,test,test,True
7583640,control,control,False
8413740,control,control,False
4145746,test,test,True
8171000,control,control,False
8586525,test,test,True
3667191,test,test,True
5112619,control,control,False
930021,test,test,True
3086953,test,test,True
5804913,test,test,True
5057948,control,control,False
6932133,control,control,False
4142763,test,test,True
2558031,control,control,False
6601606,control,control,False
9993047,control,control,False
2077336,control,control,False
7598039,test,test,True
